FIELD,Game Result,Side Line,O/U Line,O/U_Odds
1,L,-155,8.5,-106
1,W,-155,8.5,-116
1,W,-145,8.0,-106
1,W,-120,9.0,107
0,W,176,9.0,-107
0,L,221,7.5,-113
0,W,157,8.5,-111
0,L,168,9.0,-121
0,L,141,8.5,103
0,L,150,9.0,-116
0,L,153,9.5,-111
0,W,195,8.5,100
0,W,133,9.0,-107
1,W,154,9.0,-111
1,L,173,8.0,110
1,L,140,9.5,-116
1,W,-111,9.0,-102
1,W,-110,9.5,104
1,W,-135,9.0,-111
0,L,206,8.5,-110
0,W,159,7.5,100
0,L,226,10.0,106
0,W,353,9.0,-109
0,W,183,9.5,-119
1,W,148,9.5,111
1,W,136,8.5,-114
1,L,173,8.5,-102
1,L,126,9.0,-115
1,L,196,8.5,100
1,W,129,8.5,-108
0,W,185,7.5,-116
0,W,151,8.5,101
0,W,131,9.0,101
0,L,174,9.0,-102
0,W,161,9.0,-128
0,L,156,8.5,106
1,L,119,9.5,-102
1,W,195,7.5,-104
1,L,172,9.0,-115
1,W,149,9.0,-125
1,L,-141,8.5,-110
1,L,-113,9.0,-108
1,W,-118,8.5,-118
0,L,219,8.5,101
0,L,168,9.0,-111
0,W,180,8.5,104
0,L,115,9.5,-107
0,W,125,9.0,-120
0,W,129,9.0,-106
1,W,121,9.0,103
1,W,114,8.5,-110
1,L,159,9.0,-106
1,W,151,9.0,-121
1,W,130,9.0,-105
1,W,-110,9.5,-110
0,L,126,10.0,-118
0,L,206,8.5,106
0,L,121,9.5,-117
0,W,112,9.5,102
0,L,136,9.5,-106
0,L,207,9.0,-102
0,L,190,9.0,-110
1,L,108,9.5,101
1,W,122,9.5,100
1,L,136,9.0,-105
1,L,200,9.5,100
1,W,185,9.0,103
1,L,149,9.5,-106
1,L,122,9.0,-107
1,L,126,9.5,-107
1,L,132,9.5,-105
0,W,219,10.0,100
0,W,348,8.5,102
0,W,185,10.0,113
0,W,232,9.5,-104
0,L,211,9.0,-105
0,L,169,10.0,-106
0,L,173,9.0,-109
0,W,192,9.5,-120
0,L,254,8.5,-113
0,L,199,10.0,-119
1,W,106,9.0,-103
1,L,-107,8.5,105
1,W,-113,9.5,103
1,W,109,9.5,-116
1,W,109,9.0,-118
1,W,-101,9.5,-109
1,L,107,9.0,-115
1,L,107,8.5,-121
0,L,149,7.0,-106
0,W,180,6.5,-107
0,L,149,7.0,-125
0,L,237,6.5,-120
0,W,140,8.5,-108
0,L,180,7.5,-108
1,L,124,8.5,-118
1,L,-114,9.0,-111
1,L,-113,9.0,107
1,W,191,9.5,-115
1,L,215,9.0,-102
1,L,196,8.5,-109
1,W,149,9.5,-110
1,L,181,8.5,100
1,L,160,9.5,103
0,L,295,9.5,-104
0,L,208,10.0,-116
0,L,159,8.0,102
0,L,161,9.0,-122
0,L,166,8.0,101
1,L,128,9.0,-103
1,L,-108,9.0,-114
1,W,106,8.0,-107
0,L,113,8.5,-108
0,L,134,9.0,100
0,W,144,9.0,-116
0,L,136,9.5,-101
0,L,153,9.5,102
1,W,132,7.5,-125
1,L,-130,9.0,-109
1,L,106,9.5,-117
1,L,-138,8.5,-123
1,W,-117,8.5,-111
1,W,122,7.5,114
1,W,-118,9.0,-110
1,L,145,8.0,-107
0,L,138,8.5,111
0,L,164,8.5,-103
0,W,208,8.0,-105
0,W,189,9.5,-116
0,L,255,9.5,-109
0,L,207,9.0,-108
0,L,290,9.0,105
1,W,144,9.0,102
1,W,145,10.0,106
1,L,141,8.5,-113
1,L,215,8.5,-102
0,W,146,10.5,-109
0,L,163,8.5,101
0,L,196,8.5,-101
0,L,193,7.0,100
0,L,133,8.5,-107
0,L,144,8.0,-115
0,W,161,7.0,-117
0,L,146,7.5,-107
0,L,140,7.5,101
0,L,136,8.5,-107
1,L,143,9.0,108
1,L,110,9.0,111
1,L,134,9.0,-113
1,L,-113,8.5,-110
1,L,-140,9.5,-113
1,L,-156,9.0,104
0,W,149,9.5,-122
0,L,199,9.0,102
0,L,192,9.0,101
1,W,-119,9.5,111
1,W,-108,9.5,-101
1,L,126,9.5,111
0,L,-142,7.5,106
0,L,-133,9.0,-126
0,L,-102,8.5,-102
0,W,-121,8.5,-123
0,L,172,9.5,-108
0,W,-116,9.0,-105
0,W,164,9.5,-105
1,W,-163,9.5,-111
1,L,-208,8.5,100
1,L,-141,9.0,-107
1,W,-172,8.0,-108
1,L,-139,9.0,-108
1,L,-140,9.5,113
0,W,-161,7.0,-107
0,W,-131,7.5,-104
0,W,-166,6.5,102
0,W,115,7.5,-101
0,L,134,7.5,-126
0,L,-103,6.5,106
1,W,-124,9.5,-105
1,L,114,8.5,-123
1,W,-155,8.5,-115
1,L,-139,9.0,-104
1,L,-123,9.0,-103
1,L,-158,8.0,-112
0,W,-134,9.0,-115
0,W,-210,8.5,100
0,L,-137,8.5,-108
0,L,131,8.5,-107
0,L,138,7.5,-109
0,W,131,7.0,108
1,L,100,8.0,105
1,W,-212,9.0,-114
1,W,-141,8.0,-120
1,W,-136,8.5,-102
1,L,-187,8.5,-107
1,L,-151,9.5,-116
1,W,-176,10.0,-110
1,W,-136,8.0,-105
0,L,133,9.5,105
0,W,-104,8.5,-105
0,L,119,9.5,-103
0,L,-104,10.0,102
0,W,104,8.0,-109
0,W,119,8.0,-105
0,W,120,8.5,109
0,L,194,9.0,-116
1,W,-198,9.0,103
1,L,-247,8.5,-116
1,W,-239,9.5,102
1,L,-195,9.0,101
1,W,-138,8.0,-108
1,W,-180,8.5,-113
1,L,-252,8.5,-110
0,W,103,8.5,-106
0,W,139,7.5,-102
0,W,122,7.5,-104
0,L,-137,7.5,-107
0,L,-187,7.5,-117
0,W,-117,7.5,-105
0,W,-153,8.5,-102
0,L,-107,7.5,102
0,L,108,8.0,-119
0,W,107,8.0,-105
1,L,-156,8.5,104
1,W,133,9.0,-110
1,L,115,9.5,-119
1,L,-109,9.5,-107
0,W,-118,9.5,113
0,L,105,9.0,111
0,W,-132,7.5,111
0,L,166,8.5,111
0,L,161,9.0,-116
0,L,154,8.5,-109
1,L,-205,9.5,-120
1,W,-273,8.5,-113
1,W,-213,10.0,-119
1,L,-106,9.5,100
1,W,-109,9.5,105
0,W,111,6.5,-111
0,W,-140,8.0,-102
0,L,119,8.0,-109
0,W,106,9.5,-111
0,L,155,8.0,-117
0,L,-139,8.5,105
1,W,-153,9.5,-102
1,W,-154,11.0,-104
1,W,-136,10.5,-120
1,W,-145,9.0,110
1,W,-270,9.0,106
1,W,-190,9.5,-110
1,L,101,9.5,-118
1,W,-153,10.0,102
1,W,-140,10.5,108
0,L,-195,8.5,-111
